0.00000e+00 7.00000e+01 0.00000e+00 5.60000e-01 3.02869e-02 3.95686e-02 2.36282e-02 2.95262e-06
7.00000e+01 1.25000e+02 0.00000e+00 5.60000e-01 2.30806e-02 3.02999e-02 1.79327e-02 2.87025e-06
1.25000e+02 2.00000e+02 0.00000e+00 5.60000e-01 3.78000e-03 5.02188e-03 2.90761e-03 7.42292e-07
2.00000e+02 1.30000e+04 0.00000e+00 5.60000e-01 4.21300e-06 5.65928e-06 3.21129e-06 1.04247e-09
0.00000e+00 7.00000e+01 5.60000e-01 1.08000e+00 3.24049e-02 4.23280e-02 2.52846e-02 3.13727e-06
7.00000e+01 1.25000e+02 5.60000e-01 1.08000e+00 3.41095e-02 4.46808e-02 2.65502e-02 3.75312e-06
1.25000e+02 2.00000e+02 5.60000e-01 1.08000e+00 5.63332e-03 7.45132e-03 4.34892e-03 1.07873e-06
2.00000e+02 1.30000e+04 5.60000e-01 1.08000e+00 3.05976e-06 4.09508e-06 2.33918e-06 1.13719e-09
0.00000e+00 7.00000e+01 1.08000e+00 3.14160e+00 1.72335e-02 2.24835e-02 1.34581e-02 1.19521e-06
7.00000e+01 1.25000e+02 1.08000e+00 3.14160e+00 1.95714e-02 2.55436e-02 1.52786e-02 1.55263e-06
1.25000e+02 2.00000e+02 1.08000e+00 3.14160e+00 1.87383e-03 2.45548e-03 1.45790e-03 4.02676e-07
2.00000e+02 1.30000e+04 1.08000e+00 3.14160e+00 1.05062e-07 1.39916e-07 8.06424e-08 1.34038e-10
